lable,review_text
0.0,lẹ cái hàn
0.0,lẹ cái chân
0.0,lẹ cái hand
1.0,lẹ cáy tay lên jt con mee
0.0,dau r
0.0,nhanh
0.0,nono lag chu nonolive cc gi k bt
0.0,lẹ
0.0,nhanh cai hand
0.0,helu
0.0,daniel phan
0.0,lẹee
0.0,vc
0.0,lẹ cái tay lên
0.0,hôm nay nhanh ta
0.0,lẹ cái cù lẳng lên
1.0,ông già lẹ coi dmmm
0.0,aloooooo
0.0,nono lag chu nonolive cc gi k bit
0.0,mở chim lên
0.0,đù cón mua fan lun ta
0.0,hello ba gà
0.0,nono lag chu nonolive cc gi k biet
0.0,lag abe ơi
0.0,má cười ĩa
0.0,zo
0.0,ghê dọ ta
0.0,nono lag chu nonolive cc gi k bitt
0.0,nhanh cái hand lên thằng già
0.0,thấy cmt ko thấy clip
0.0,k view het thoi
0.0,nono lag chu nonolive cc gi k bttt
0.0,wtf nono là sao
0.0,lô
0.0,nono lag chu nonolive cc gi k btttt
0.0,long chim
0.0,nono lag chu nonolive cc gi k bttttt
0.0,đang ở đâu v
0.0,nono lag chu nonolive cc gi k btnono lag chu nonolive cc gi k btnono lag chu nonolive cc gi k btttt
1.0,đĩ mẹ bọn dev nono ngu vl làm ra con app rẻ rách lag lên lag xuống
0.0,quả thầy chất lượng
0.0,dung spam
0.0,nb kim ngân để dành tiền mua
1.0,m ngu it
0.0,nono lag chu nonolive cc gi k btnono lag chu nonolive cc gi k bt
1.0,hungw nguyen đĩ mẹ bọn dev nono ngu vl làm ra con app rẻ rách lag lên lag xuống
1.0,spam cc gì k pik
0.0,out trình
1.0,spam cc
0.0,zozo
0.0,non
0.0,hum nay em xem abe đáng tiền mạng cười xĩu
1.0,nono nó trả lương cho abe mẹ cái thằng ngu
0.0,aaaaa
0.0,nono njm
0.0,h s stream nonoo hom qua ae
0.0,xoáy nòng
0.0,lộ
0.0,xoay nong ư
0.0,xoay nong
0.0,kokkk
0.0,xoáy nồng
0.0,ẩu
0.0,xoáy nòng
0.0,xoáy
1.0,clm
0.0,trở thành fankhông lỡ live lần sau
0.0,lê hồng phong hả thầy
0.0,vl
0.0,ẩu
0.0,bé
0.0,ah
0.0,nó spam kìa
0.0,ẩu ẩu
0.0,mod đâu hết r
0.0,nb kim ngân mod của ngân đâuuu
0.0,thầy tệ
0.0,sang xem sena đi ae
0.0,amen
0.0,rip
0.0,amen lạy thánh allah
0.0,gặp sena
0.0,m cho ngài đô đi
1.0,bang ngo cút
1.0,abe ngu ncc
0.0,mua cái đô thôi thầy
0.0,amen
0.0,thang
0.0,lại dnt kinh
0.0,omen
0.0,đang chơi game làm biến lofgacc ban lém
0.0,ffff
0.0,respect
1.0,bán bổ thần linh vcl
0.0,a di đà fật
0.0,amen da fat
0.0,m vẽ
0.0,mày giàu
0.0,jajsj
0.0,nghèo
0.0,vẽ
0.0,kinh chúa quài nhức đầu vc
0.0,adidas
0.0,goi tr
0.0,abe tệ
0.0,m ác
0.0,nghiệp quật mấy thằng bán bổ sớm thôi
0.0,h s stream hôm qua abe lộ hàng ae
0.0,ăn cướp
0.0,m tệ
1.0,clm
0.0,bớt vẽ lại
1.0,cml
1.0,dnt ngu học
0.0,má
0.0,m ác
0.0,m tệ
1.0,ác clm
0.0,gap sena
0.0,ác
0.0,hello aba
0.0,gap sena thầy oi
0.0,gặp sena r
0.0,tệ bạc
0.0,im di
0.0,ae ngừng dnt là vừa clm
1.0,câm mồm bọn view
0.0,gap sena
0.0,trungg
0.0,thầy đọc donate đi thầy
0.0,im
0.0,sena
0.0,đn dịch quá abe mai phải học online rồi
1.0,tụi m im đi
0.0,gap sena im di ong out gio
0.0,vii sepp hello aba yukoto clm feelsbadmann ăn cướp trần hồng thái gap sena
0.0,sena stream o dau
0.0,chat lên rồi ổng out nữa
1.0,gặp sena clmm
0.0,làm vậy để đc gì
0.0,nghe chưa
0.0,đúng
0.0,nghe ch
0.0,đòn
0.0,thầy coach
0.0,cãi
0.0,froggba
0.0,nghe đi
0.0,sena stream ở đâu
0.0,cuộc đời này k biết thì học
1.0,tụi bây im đi
0.0,ko biết thì học
0.0,m xạo lane nào m cũng yếu
0.0,chào thầy
0.0,cái nào chả yếu xạo xạo
0.0,chào chú nhá
0.0,sao abe choi minh kia
0.0,hết gặp sena
1.0,có cái lz nào m mạnh
0.0,trícvljw nim
0.0,dảk quá
